,Life expectancy,Population(in millions),Total Area(in miles)
Lithuania,72.1,3.28,65300
Latvia,72.2,2.23,64589
Bulgaria,73.5,7.35,110879
Romania,73.8,21.3,238391
Estonia,74.4,1.34,45228
Hungary,74.6,9.93,93028
Slovakia,75.4,5.49,49035
Poland,76.4,38.3,312685
Croatia,77.0,4.38,56594
Czech Republic,77.7,10.6,78867
Denmark,79.4,5.61,43094
Portugal,79.9,10.7,92090
Belgium,80.5,10.8,30528
United Kingdom,80.5,63.2,243610
Finland,80.5,5.42,338145
Ireland,80.7,4.63,70273
Germany,80.7,81.8,357022
Greece,80.8,11.4,131940
Netherlands,81.0,16.8,41543
Austria,81.1,8.44,83871
Sweden,81.8,9.55,450295
France,81.8,63.8,547030
Spain,82.1,47.0,504782
Italy,82.4,61.1,301340
